"Age","Gender","Language","Country","Condition","Diverse_Target1","Diverse_Target2","Diverse_Target3","NonDiverse_Target1","NonDiverse_Target2","NonDiverse_Target3","Sampling","Rand_Filler1","Rand_Filler2","Rand_Filler3","Rand_Filler4","Rand_Filler5","Rand_Filler6","Diverse_Filler1","Diverse_Filler2","Diverse_Filler3","NonDiverse_Filler4","NonDiverse_Filler5","NonDiverse_Filler6"
19,"Female","Yes","United States of America",1,5,5,6,4,3,3,"Helpful",NA,NA,NA,NA,NA,NA,5,6,5,3,4,4
20,"Female","Yes","United States of America",2,3,2,6,6,4,7,"Helpful",NA,NA,NA,NA,NA,NA,2,6,4,4,6,3
20,"Male","Yes","United States of America",2,7,6,6,4,3,2,"Helpful",NA,NA,NA,NA,NA,NA,5,6,6,5,5,2
20,"Male","Yes","United States of America",4,5,6,4,5,5,3,"Random",4,4,5,5,4,2,NA,NA,NA,NA,NA,NA
21,"Female","Yes","United States of America",3,5,6,6,6,5,6,"Random",3,6,3,1,2,1,NA,NA,NA,NA,NA,NA
22,"Male","Yes","United States of America",2,6,6,6,4,3,2,"Helpful",NA,NA,NA,NA,NA,NA,7,5,5,4,3,5
22,"Male","Yes","United States of America",3,4,2,4,4,3,5,"Random",3,1,2,1,3,2,NA,NA,NA,NA,NA,NA
23,"Female","Yes","United States of America",4,5,4,4,3,4,4,"Random",5,2,1,1,1,1,NA,NA,NA,NA,NA,NA
23,"Female","Yes","United States of America",4,6,2,6,3,1,7,"Random",7,7,1,1,7,2,NA,NA,NA,NA,NA,NA
23,"Male","Yes","United States of America",1,4,1,5,4,5,3,"Helpful",NA,NA,NA,NA,NA,NA,4,6,6,3,5,5
23,"Male","Yes","United States of America",1,4,2,6,5,4,6,"Helpful",NA,NA,NA,NA,NA,NA,2,5,5,5,5,6
23,"Male","Yes","United States of America",1,4,5,3,5,5,6,"Helpful",NA,NA,NA,NA,NA,NA,2,4,6,5,3,5
23,"Male","Yes","United States of America",2,7,5,6,2,6,3,"Helpful",NA,NA,NA,NA,NA,NA,7,7,3,2,5,5
23,"Male","Yes","United States of America",3,5,7,7,7,2,7,"Random",4,4,1,1,5,1,NA,NA,NA,NA,NA,NA
23,"Male","Yes","United States of America",3,6,6,7,7,6,7,"Random",5,5,3,1,1,1,NA,NA,NA,NA,NA,NA
24,"Female","Yes","United States of America",2,2,1,1,3,1,1,"Helpful",NA,NA,NA,NA,NA,NA,5,3,3,2,4,3
24,"Female","Yes","United States of America",2,2,6,3,5,3,3,"Helpful",NA,NA,NA,NA,NA,NA,2,6,5,5,7,5
24,"Female","Yes","United States of America",3,6,5,5,6,5,6,"Random",4,3,4,1,2,1,NA,NA,NA,NA,NA,NA
24,"Male","Yes","United States of America",2,4,5,5,3,5,6,"Helpful",NA,NA,NA,NA,NA,NA,5,5,7,4,3,5
25,"Female","Yes","United States of America",2,4,2,2,4,4,3,"Helpful",NA,NA,NA,NA,NA,NA,4,4,4,3,4,4
25,"Male","Yes","United States of America",3,5,4,5,5,5,5,"Random",2,3,2,1,2,1,NA,NA,NA,NA,NA,NA
25,"Male","Yes","United States of America",3,7,7,7,7,7,6,"Random",4,6,7,2,4,1,NA,NA,NA,NA,NA,NA
25,"Male","Yes","United States of America",4,7,6,6,4,7,7,"Random",4,4,1,2,1,1,NA,NA,NA,NA,NA,NA
26,"Female","Yes","United States of America",1,4,5,3,5,6,5,"Helpful",NA,NA,NA,NA,NA,NA,4,7,4,7,6,4
26,"Female","Yes","United States of America",1,5,2,4,5,4,5,"Helpful",NA,NA,NA,NA,NA,NA,4,3,4,3,4,3
26,"Female","Yes","United States of America",3,5,6,6,6,6,6,"Random",4,4,4,1,4,1,NA,NA,NA,NA,NA,NA
26,"Male","Yes","United States of America",2,4,4,4,4,4,4,"Helpful",NA,NA,NA,NA,NA,NA,5,4,4,4,4,5
26,"Male","Yes","United States of America",4,4,7,7,1,7,7,"Random",4,7,1,4,1,1,NA,NA,NA,NA,NA,NA
26,"Male","Yes","United States of America",4,6,7,6,7,5,6,"Random",7,7,4,1,4,1,NA,NA,NA,NA,NA,NA
27,"Female","No","United States of America",3,6,6,6,6,4,4,"Random",4,4,4,4,4,4,NA,NA,NA,NA,NA,NA
27,"Female","Yes","United States of America",2,7,6,6,6,3,1,"Helpful",NA,NA,NA,NA,NA,NA,7,4,5,2,5,4
27,"Female","Yes","United States of America",3,3,6,6,5,4,6,"Random",2,4,2,1,1,1,NA,NA,NA,NA,NA,NA
27,"Female","Yes","United States of America",3,5,5,5,4,5,5,"Random",4,1,2,1,1,1,NA,NA,NA,NA,NA,NA
27,"Male","Yes","United States of America",2,7,5,4,3,5,3,"Helpful",NA,NA,NA,NA,NA,NA,7,5,5,4,4,3
27,"Male","Yes","United States of America",3,4,3,4,4,4,3,"Random",2,4,2,1,2,1,NA,NA,NA,NA,NA,NA
27,"Male","Yes","United States of America",3,6,6,5,5,4,6,"Random",4,2,2,1,1,1,NA,NA,NA,NA,NA,NA
27,"Male","Yes","United States of America",4,5,5,5,5,4,6,"Random",6,4,4,1,2,1,NA,NA,NA,NA,NA,NA
27,"Male","Yes","United States of America",4,6,7,5,7,7,7,"Random",7,2,7,2,3,1,NA,NA,NA,NA,NA,NA
28,"Female","Yes","United States of America",3,7,6,7,6,6,5,"Random",1,4,4,1,1,1,NA,NA,NA,NA,NA,NA
28,"Female","Yes","United States of America",4,6,4,5,5,4,4,"Random",1,4,1,1,1,1,NA,NA,NA,NA,NA,NA
28,"Male","Yes","United States of America",1,5,3,4,3,3,3,"Helpful",NA,NA,NA,NA,NA,NA,5,4,4,4,5,4
28,"Male","Yes","United States of America",1,5,5,3,6,6,4,"Helpful",NA,NA,NA,NA,NA,NA,5,3,4,3,5,6
28,"Male","Yes","United States of America",1,6,5,3,6,4,5,"Helpful",NA,NA,NA,NA,NA,NA,6,6,4,4,6,5
28,"Male","Yes","United States of America",1,7,6,6,6,5,4,"Helpful",NA,NA,NA,NA,NA,NA,6,5,4,5,5,2
28,"Male","Yes","United States of America",3,6,5,4,6,4,6,"Random",2,3,2,3,2,2,NA,NA,NA,NA,NA,NA
28,"Male","Yes","United States of America",4,5,5,5,5,5,5,"Random",4,4,4,1,4,1,NA,NA,NA,NA,NA,NA
28,"Male","Yes","United States of America",4,6,5,3,5,6,4,"Random",4,5,6,6,5,6,NA,NA,NA,NA,NA,NA
29,"Female","Yes","United States of America",1,7,3,5,6,3,2,"Helpful",NA,NA,NA,NA,NA,NA,6,6,7,7,7,4
29,"Female","Yes","United States of America",4,4,6,5,5,6,6,"Random",6,5,1,2,2,1,NA,NA,NA,NA,NA,NA
29,"Male","Yes","United States of America",1,0,5,4,3,5,5,"Helpful",NA,NA,NA,NA,NA,NA,4,4,3,4,4,3
29,"Male","Yes","United States of America",1,7,4,6,6,3,2,"Helpful",NA,NA,NA,NA,NA,NA,7,7,5,6,6,2
29,"Male","Yes","United States of America",2,3,4,4,4,5,5,"Helpful",NA,NA,NA,NA,NA,NA,7,6,4,3,4,4
29,"Male","Yes","United States of America",2,6,3,3,5,5,1,"Helpful",NA,NA,NA,NA,NA,NA,4,4,1,2,2,5
29,"Male","Yes","United States of America",2,7,5,7,5,5,6,"Helpful",NA,NA,NA,NA,NA,NA,5,7,6,6,6,6
29,"Male","Yes","United States of America",2,7,7,3,6,7,3,"Helpful",NA,NA,NA,NA,NA,NA,5,6,3,5,3,5
29,"Male","Yes","United States of America",3,4,6,4,6,5,3,"Random",6,5,4,6,5,4,NA,NA,NA,NA,NA,NA
29,"Male","Yes","United States of America",3,7,1,6,4,1,7,"Random",3,4,1,2,4,2,NA,NA,NA,NA,NA,NA
29,"Male","Yes","United States of America",4,5,5,5,3,5,5,"Random",4,1,5,1,1,1,NA,NA,NA,NA,NA,NA
30,"Female","Yes","United States of America",1,1,2,1,1,2,1,"Helpful",NA,NA,NA,NA,NA,NA,1,1,1,2,1,2
30,"Female","Yes","United States of America",1,6,4,6,5,5,5,"Helpful",NA,NA,NA,NA,NA,NA,5,3,7,7,4,4
30,"Female","Yes","United States of America",1,6,5,5,3,3,4,"Helpful",NA,NA,NA,NA,NA,NA,6,6,5,3,4,3
30,"Female","Yes","United States of America",2,7,7,6,5,3,2,"Helpful",NA,NA,NA,NA,NA,NA,7,5,3,2,4,2
30,"Female","Yes","United States of America",3,6,5,4,6,4,2,"Random",1,6,1,1,1,1,NA,NA,NA,NA,NA,NA
30,"Female","Yes","United States of America",3,6,6,6,5,6,6,"Random",3,1,2,1,4,4,NA,NA,NA,NA,NA,NA
30,"Female","Yes","United States of America",4,3,4,4,3,6,5,"Random",2,3,1,1,2,1,NA,NA,NA,NA,NA,NA
30,"Female","Yes","United States of America",4,6,6,7,6,4,7,"Random",6,5,1,3,2,3,NA,NA,NA,NA,NA,NA
30,"Male","No","United States of America",4,7,6,7,3,5,7,"Random",3,3,4,5,1,1,NA,NA,NA,NA,NA,NA
30,"Male","Yes","United States of America",1,4,4,6,4,4,6,"Helpful",NA,NA,NA,NA,NA,NA,3,5,3,5,7,3
30,"Male","Yes","United States of America",1,6,3,5,2,2,2,"Helpful",NA,NA,NA,NA,NA,NA,5,6,1,2,3,2
30,"Male","Yes","United States of America",3,6,4,7,5,5,6,"Random",2,4,2,1,3,1,NA,NA,NA,NA,NA,NA
30,"Male","Yes","United States of America",3,6,6,6,6,6,6,"Random",4,6,4,4,2,4,NA,NA,NA,NA,NA,NA
31,"Female","Yes","United States of America",3,1,4,4,1,7,1,"Random",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
31,"Female","Yes","United States of America",3,2,4,5,3,4,6,"Random",3,4,1,1,3,1,NA,NA,NA,NA,NA,NA
31,"Female","Yes","United States of America",4,5,3,3,5,4,2,"Random",3,4,5,1,4,1,NA,NA,NA,NA,NA,NA
31,"Male","Yes","United States of America",2,6,3,5,3,3,2,"Helpful",NA,NA,NA,NA,NA,NA,7,6,2,2,5,2
31,"Male","Yes","United States of America",2,6,6,6,6,4,2,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,6,7,4
31,"Male","Yes","United States of America",2,7,4,6,5,4,4,"Helpful",NA,NA,NA,NA,NA,NA,4,6,4,5,4,4
31,"Male","Yes","United States of America",3,5,5,6,6,6,5,"Random",3,4,7,1,1,1,NA,NA,NA,NA,NA,NA
31,"Male","Yes","United States of America",4,4,6,5,5,3,5,"Random",4,3,4,3,4,4,NA,NA,NA,NA,NA,NA
31,"Male","Yes","United States of America",4,5,1,5,5,5,6,"Random",4,3,3,5,3,1,NA,NA,NA,NA,NA,NA
31,"Male","Yes","United States of America",4,6,6,7,4,6,5,"Random",4,4,4,4,5,4,NA,NA,NA,NA,NA,NA
32,"Female","Yes","United States of America",1,7,6,6,5,5,5,"Helpful",NA,NA,NA,NA,NA,NA,7,5,5,5,5,3
32,"Female","Yes","United States of America",3,6,5,6,6,5,5,"Random",5,5,5,1,3,1,NA,NA,NA,NA,NA,NA
32,"Male","Yes","United States of America",2,4,2,3,2,2,2,"Helpful",NA,NA,NA,NA,NA,NA,4,2,3,5,5,2
32,"Male","Yes","United States of America",2,6,4,6,1,3,2,"Helpful",NA,NA,NA,NA,NA,NA,5,6,5,3,4,4
32,"Male","Yes","United States of America",3,5,4,5,4,5,5,"Random",2,3,1,2,2,1,NA,NA,NA,NA,NA,NA
32,"Male","Yes","United States of America",3,6,7,6,7,6,6,"Random",6,7,1,1,6,1,NA,NA,NA,NA,NA,NA
32,"Male","Yes","United States of America",4,4,5,5,5,4,4,"Random",5,4,3,4,4,5,NA,NA,NA,NA,NA,NA
33,"Female","Yes","United States of America",2,6,7,6,3,4,3,"Helpful",NA,NA,NA,NA,NA,NA,6,6,6,6,4,3
33,"Female","Yes","United States of America",3,5,5,4,5,5,3,"Random",5,4,5,2,5,5,NA,NA,NA,NA,NA,NA
33,"Female","Yes","United States of America",3,7,7,7,7,6,7,"Random",4,4,5,2,1,3,NA,NA,NA,NA,NA,NA
33,"Female","Yes","United States of America",3,7,7,7,7,7,7,"Random",2,4,4,1,1,1,NA,NA,NA,NA,NA,NA
33,"Female","Yes","United States of America",4,5,4,5,4,4,4,"Random",2,3,1,4,3,2,NA,NA,NA,NA,NA,NA
33,"Male","Yes","United States of America",1,4,4,4,4,4,4,"Helpful",NA,NA,NA,NA,NA,NA,4,4,4,4,4,1
34,"Female","Yes","United States of America",3,7,3,5,6,5,4,"Random",4,4,4,1,4,1,NA,NA,NA,NA,NA,NA
34,"Female","Yes","United States of America",4,5,6,5,5,4,5,"Random",5,4,6,3,4,4,NA,NA,NA,NA,NA,NA
34,"Male","Yes","United States of America",1,5,5,3,4,3,3,"Helpful",NA,NA,NA,NA,NA,NA,6,6,1,2,5,4
34,"Male","Yes","United States of America",1,6,6,5,6,5,4,"Helpful",NA,NA,NA,NA,NA,NA,6,5,6,5,5,5
34,"Male","Yes","United States of America",1,7,1,6,5,1,2,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,5,6,3
34,"Male","Yes","United States of America",2,5,5,4,4,4,3,"Helpful",NA,NA,NA,NA,NA,NA,7,2,4,3,4,4
34,"Male","Yes","United States of America",2,6,5,6,3,2,3,"Helpful",NA,NA,NA,NA,NA,NA,5,6,5,4,6,6
34,"Male","Yes","United States of America",3,5,4,5,6,5,6,"Random",3,5,1,2,2,2,NA,NA,NA,NA,NA,NA
35,"Female","Yes","United States of America",1,6,6,3,2,2,3,"Helpful",NA,NA,NA,NA,NA,NA,5,4,5,3,5,3
35,"Female","Yes","United States of America",2,2,4,3,2,2,3,"Helpful",NA,NA,NA,NA,NA,NA,3,6,3,2,4,2
35,"Female","Yes","United States of America",2,4,1,1,1,1,1,"Helpful",NA,NA,NA,NA,NA,NA,5,4,2,1,3,1
35,"Female","Yes","United States of America",4,7,5,7,5,4,7,"Random",4,4,1,3,7,1,NA,NA,NA,NA,NA,NA
35,"Male","Yes","United States of America",2,5,6,5,5,5,4,"Helpful",NA,NA,NA,NA,NA,NA,6,7,5,6,5,6
35,"Male","Yes","United States of America",2,7,5,5,7,6,3,"Helpful",NA,NA,NA,NA,NA,NA,6,5,7,7,3,5
35,"Male","Yes","United States of America",4,2,1,2,2,2,2,"Random",2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
35,"Male","Yes","United States of America",4,4,6,4,6,1,1,"Random",3,5,3,1,1,1,NA,NA,NA,NA,NA,NA
35,"Male","Yes","United States of America",4,7,7,6,7,6,7,"Random",7,6,1,1,2,1,NA,NA,NA,NA,NA,NA
36,"Female","Yes","United States of America",1,4,3,3,4,3,4,"Helpful",NA,NA,NA,NA,NA,NA,2,3,2,5,3,3
36,"Female","Yes","United States of America",2,5,6,6,3,2,7,"Helpful",NA,NA,NA,NA,NA,NA,3,6,6,6,7,5
36,"Female","Yes","United States of America",4,7,7,7,7,7,4,"Random",1,6,1,1,4,1,NA,NA,NA,NA,NA,NA
36,"Male","Yes","United States of America",1,4,1,4,4,1,4,"Helpful",NA,NA,NA,NA,NA,NA,4,4,4,4,4,1
36,"Male","Yes","United States of America",1,6,5,4,3,1,2,"Helpful",NA,NA,NA,NA,NA,NA,4,5,3,2,5,3
36,"Male","Yes","United States of America",1,7,7,7,7,6,6,"Helpful",NA,NA,NA,NA,NA,NA,7,7,6,6,7,7
37,"Female","Yes","United States of America",1,6,4,5,4,2,3,"Helpful",NA,NA,NA,NA,NA,NA,5,7,6,3,7,3
37,"Female","Yes","United States of America",1,7,6,5,4,2,3,"Helpful",NA,NA,NA,NA,NA,NA,7,7,5,3,4,2
37,"Female","Yes","United States of America",4,6,5,6,2,5,5,"Random",1,2,1,2,2,1,NA,NA,NA,NA,NA,NA
37,"Male","Yes","United States of America",1,7,4,7,4,4,4,"Helpful",NA,NA,NA,NA,NA,NA,7,7,6,4,6,6
37,"Male","Yes","United States of America",4,4,5,5,4,5,4,"Random",1,2,1,1,1,1,NA,NA,NA,NA,NA,NA
38,"Female","Yes","United States of America",2,7,7,7,5,5,7,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,5,7,3
38,"Female","Yes","United States of America",3,5,5,5,4,5,6,"Random",2,5,1,6,3,1,NA,NA,NA,NA,NA,NA
38,"Female","Yes","United States of America",4,5,4,5,2,2,3,"Random",2,2,2,1,1,1,NA,NA,NA,NA,NA,NA
38,"Female","Yes","United States of America",4,6,4,6,6,6,5,"Random",5,5,2,4,4,3,NA,NA,NA,NA,NA,NA
38,"Male","No","United States of America",1,4,3,5,5,3,5,"Helpful",NA,NA,NA,NA,NA,NA,5,5,4,4,5,4
38,"Male","Yes","United States of America",2,5,3,5,6,5,4,"Helpful",NA,NA,NA,NA,NA,NA,5,6,6,5,5,5
39,"Female","Yes","United States of America",2,5,2,5,2,2,2,"Helpful",NA,NA,NA,NA,NA,NA,3,2,1,2,2,1
39,"Male","Yes","United States of America",2,2,2,2,2,2,2,"Helpful",NA,NA,NA,NA,NA,NA,2,2,2,2,2,3
39,"Male","Yes","United States of America",3,6,6,7,6,6,6,"Random",5,4,7,2,4,1,NA,NA,NA,NA,NA,NA
39,"Male","Yes","United States of America",4,6,6,6,6,2,6,"Random",2,5,2,2,3,1,NA,NA,NA,NA,NA,NA
40,"Female","Yes","United States of America",4,7,7,7,6,5,6,"Random",5,5,6,3,5,5,NA,NA,NA,NA,NA,NA
41,"Female","Yes","United States of America",1,1,5,3,2,2,3,"Helpful",NA,NA,NA,NA,NA,NA,3,4,2,2,3,1
41,"Female","Yes","United States of America",2,7,7,7,7,7,7,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,7,7,7
41,"Male","Yes","United States of America",1,7,7,6,6,7,7,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,6,6,7
41,"Male","Yes","United States of America",3,6,6,6,5,6,6,"Random",2,4,2,1,2,1,NA,NA,NA,NA,NA,NA
41,"Male","Yes","United States of America",4,6,6,6,6,6,6,"Random",4,4,2,2,3,4,NA,NA,NA,NA,NA,NA
42,"Female","Yes","United States of America",1,5,4,6,5,4,5,"Helpful",NA,NA,NA,NA,NA,NA,6,6,5,4,4,2
42,"Female","Yes","United States of America",1,7,7,7,7,5,7,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,7,7,4
42,"Female","Yes","United States of America",2,6,5,6,6,7,6,"Helpful",NA,NA,NA,NA,NA,NA,7,6,6,5,5,5
42,"Male","Yes","United States of America",4,7,7,6,7,7,7,"Random",1,7,7,1,5,3,NA,NA,NA,NA,NA,NA
43,"Male","Yes","United States of America",3,5,7,7,7,5,7,"Random",5,5,7,2,5,1,NA,NA,NA,NA,NA,NA
44,"Male","Yes","United States of America",2,6,5,6,4,3,4,"Helpful",NA,NA,NA,NA,NA,NA,6,5,5,3,3,3
45,"Female","Yes","United States of America",2,6,7,2,3,4,4,"Helpful",NA,NA,NA,NA,NA,NA,7,5,7,5,5,7
45,"Female","Yes","United States of America",3,7,7,7,7,7,5,"Random",4,4,3,2,3,4,NA,NA,NA,NA,NA,NA
45,"Female","Yes","United States of America",4,4,6,5,6,7,4,"Random",6,3,2,7,6,5,NA,NA,NA,NA,NA,NA
45,"Female","Yes","United States of America",4,5,6,5,3,7,5,"Random",6,1,3,1,1,1,NA,NA,NA,NA,NA,NA
45,"Male","Yes","United States of America",1,3,1,2,3,1,2,"Helpful",NA,NA,NA,NA,NA,NA,2,4,4,4,4,3
46,"Male","Yes","United States of America",1,7,7,7,6,4,4,"Helpful",NA,NA,NA,NA,NA,NA,7,7,5,4,4,4
47,"Female","Yes","United States of America",3,6,6,5,3,3,3,"Random",4,3,1,3,3,2,NA,NA,NA,NA,NA,NA
47,"Male","Yes","United States of America",2,4,4,5,4,6,6,"Helpful",NA,NA,NA,NA,NA,NA,5,4,5,5,5,5
48,"Female","Yes","United States of America",3,6,6,6,6,6,6,"Random",4,4,5,3,4,1,NA,NA,NA,NA,NA,NA
48,"Female","Yes","United States of America",4,7,7,7,7,7,7,"Random",6,7,1,1,2,1,NA,NA,NA,NA,NA,NA
48,"Male","Yes","United States of America",3,5,5,6,6,6,6,"Random",3,5,4,3,5,4,NA,NA,NA,NA,NA,NA
48,"Male","Yes","United States of America",4,4,4,4,4,4,4,"Random",4,1,1,1,3,1,NA,NA,NA,NA,NA,NA
49,"Female","Yes","United States of America",1,2,5,5,3,1,3,"Helpful",NA,NA,NA,NA,NA,NA,2,4,3,1,1,2
49,"Female","Yes","United States of America",4,3,3,6,2,6,5,"Random",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA
49,"Female","Yes","United States of America",4,7,7,7,4,7,4,"Random",7,7,7,1,4,1,NA,NA,NA,NA,NA,NA
50,"Female","Yes","United States of America",3,5,5,6,6,4,5,"Random",1,5,4,3,5,1,NA,NA,NA,NA,NA,NA
50,"Female","Yes","United States of America",3,6,6,5,6,6,6,"Random",5,3,4,3,4,1,NA,NA,NA,NA,NA,NA
50,"Male","Yes","United States of America",3,7,7,6,6,6,5,"Random",4,4,3,1,3,1,NA,NA,NA,NA,NA,NA
51,"Female","Yes","United States of America",2,4,6,7,3,6,4,"Helpful",NA,NA,NA,NA,NA,NA,6,5,6,5,6,4
51,"Male","Yes","United States of America",1,2,1,4,2,3,2,"Helpful",NA,NA,NA,NA,NA,NA,2,3,5,2,6,2
51,"Male","Yes","United States of America",2,4,6,4,4,5,3,"Helpful",NA,NA,NA,NA,NA,NA,6,6,3,5,5,4
53,"Female","Yes","United States of America",2,5,6,6,5,6,5,"Helpful",NA,NA,NA,NA,NA,NA,5,5,6,6,6,6
53,"Male","Yes","United States of America",1,4,3,4,3,5,3,"Helpful",NA,NA,NA,NA,NA,NA,3,3,3,3,3,3
53,"Male","Yes","United States of America",1,7,7,5,7,2,3,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,6,7,7
53,"Male","Yes","United States of America",3,5,5,7,6,3,6,"Random",1,5,1,1,2,2,NA,NA,NA,NA,NA,NA
54,"Female","Yes","United States of America",4,5,5,5,5,5,4,"Random",4,4,4,1,4,1,NA,NA,NA,NA,NA,NA
55,"Female","Yes","United States of America",2,6,2,5,5,3,4,"Helpful",NA,NA,NA,NA,NA,NA,6,5,5,3,3,4
55,"Male","Yes","United States of America",1,4,2,5,2,2,2,"Helpful",NA,NA,NA,NA,NA,NA,2,4,2,2,2,2
56,"Male","Yes","United States of America",2,4,2,3,4,2,3,"Helpful",NA,NA,NA,NA,NA,NA,5,4,6,5,4,5
57,"Female","Yes","United States of America",2,6,3,5,2,3,1,"Helpful",NA,NA,NA,NA,NA,NA,7,7,4,4,1,2
59,"Female","Yes","United States of America",1,6,6,4,7,2,3,"Helpful",NA,NA,NA,NA,NA,NA,3,5,4,6,7,4
59,"Female","Yes","United States of America",4,7,5,6,6,6,7,"Random",1,7,1,1,1,1,NA,NA,NA,NA,NA,NA
60,"Male","Yes","United States of America",2,6,5,6,5,5,5,"Helpful",NA,NA,NA,NA,NA,NA,6,6,6,6,6,5
60,"Male","Yes","United States of America",3,7,6,7,4,5,6,"Random",7,7,5,1,1,1,NA,NA,NA,NA,NA,NA
62,"Male","Yes","United States of America",1,6,3,6,6,3,6,"Helpful",NA,NA,NA,NA,NA,NA,6,6,5,5,5,5
62,"Male","Yes","United States of America",4,5,5,5,5,5,5,"Random",5,5,4,1,1,1,NA,NA,NA,NA,NA,NA
63,"Male","Yes","United States of America",4,5,5,6,3,4,3,"Random",6,2,6,1,3,1,NA,NA,NA,NA,NA,NA
68,"Male","Yes","United States of America",3,4,3,4,5,4,4,"Random",2,2,2,1,3,1,NA,NA,NA,NA,NA,NA
69,"Female","Yes","United States of America",1,4,3,3,4,2,2,"Helpful",NA,NA,NA,NA,NA,NA,6,5,4,3,4,3
73,"Male","Yes","United States of America",2,7,7,7,7,7,7,"Helpful",NA,NA,NA,NA,NA,NA,7,7,7,7,7,7
